ra,dec,wid,hei,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,score,GLON,GLAT,reff
210.430964214015,-61.7029486395925,8.60968712697115,3.93239599107531,210.502640584511,-61.6723921311735,210.498306825526,-61.7357200653483,210.36376364696,-61.6701801321637,210.359145799061,-61.7335022296846,0.999330282211304,311.1598493706947,0.04084788185339348,2.909325486367676
211.052670053242,-61.5599507336035,6.91646439714646,3.35611236386896,211.110257837077,-61.5332692068492,211.107605864829,-61.5879190674364,210.997833080605,-61.5319838613719,210.994983430457,-61.5866307987565,0.981864452362061,311.48308029044404,0.09767401654584854,2.40896407598384
210.998090095737,-62.1398800506359,6.39694033300998,3.02175563259595,211.047781319993,-62.1146996029831,211.051439267964,-62.1634075332731,210.944823595747,-62.1163508694275,210.948316199246,-62.1650621968597,0.902369141578674,311.2974250235852,-0.45233845703829983,2.1982942525201854
211.672611070258,-62.1919442249111,6.93628478324001,3.1808100817031,211.725507420678,-62.1654387118099,211.730459711279,-62.2161363205041,211.614854964892,-62.1677496541589,211.619622184182,-62.2184522131716,0.900309920310974,311.58490639981216,-0.5911182542026429,2.34856363380331
211.985069706105,-61.85008721844,9.31061577025162,4.39655894560971,212.062567623059,-61.8141537729312,212.061259342367,-61.8867257427753,211.90906116544,-61.8134497603484,211.907390693554,-61.8860195977052,0.997942328453064,311.824136645968,-0.3062913720220235,3.199010435034348
211.775687407512,-61.9666059473735,2.31103674782844,1.08594966694199,211.794940510362,-61.9577879673012,211.794461494653,-61.9756555710988,211.756924393801,-61.9575564099831,211.756423231232,-61.9754238411109,0.538019239902496,311.6959806988378,-0.389201756265202,0.7920968353987715
210.202889209021,-62.3538684373731,2.91345955263523,1.34488191925598,210.226118314642,-62.3426612009383,210.227176689506,-62.3645886658841,210.178619030296,-62.3431479830773,210.179642801639,-62.3650758995926,0.717806756496429,310.8829605533784,-0.557878769256251,0.9897296442492183
209.866471885752,-61.0921866922093,7.06193580217871,3.44044099192089,209.923303959566,-61.0635169013764,209.925373400291,-61.1199229832778,209.807674470255,-61.0644492996081,209.809535712897,-61.1208575845751,0.704487264156342,311.0607841206143,0.7013308134425325,2.46455743573412
208.867471264012,-61.7365516583313,39.562000934738,18.2204645958812,209.193455915792,-61.5847158688515,209.197613631118,-61.8879434159337,208.540568560263,-61.5851570697571,208.538246948873,-61.8883902787828,0.974988222122192,310.4353647474838,0.19880715855322306,13.424213546550993
209.898628143332,-61.8028124040008,4.32585651212833,2.04071710922506,209.933430961785,-61.7858066317368,209.934696271511,-61.8192390647541,209.862598662976,-61.7863853359551,209.863786677056,-61.8198185835572,0.917438864707947,310.89046013748987,0.011246540178327097,1.4855848508544476
208.555445423984,-62.2369324493792,8.05055109825389,3.79224511346862,208.622463637197,-62.205540996941,208.622146247144,-62.2685346321785,208.488884026035,-62.2053305469541,208.488287785559,-62.2683236214432,0.997135400772095,310.17156612399447,-0.2509340628058623,2.7626827117442727
209.269588518144,-62.1208125466673,3.70828664954388,1.75017831671042,209.300477599901,-62.1076478425186,209.297458046885,-62.1353977774507,209.241745603382,-62.1062281388389,209.238672822408,-62.1339764278611,0.927223443984985,310.52319322079387,-0.2204145455554558,1.2737899047898784
209.696421968209,-62.3044902380379,6.05830969782119,2.81113483031433,209.745456687304,-62.28106443627,209.746946018496,-62.3272567405082,209.645974190199,-62.2817230919315,209.647310976837,-62.3279166834419,0.995379328727722,310.66885677080376,-0.4487022542555557,2.063414973071112
209.843617546502,-61.3988966674778,22.611019320907,10.7993271072309,210.02541475624,-61.3089076733039,210.03257126067,-61.4859777184991,209.655720938654,-61.3118048196839,209.660763230445,-61.4888964584244,0.999860882759094,310.9703723225049,0.40804192891798635,7.813190671460549
209.607649651725,-62.2946615563533,3.95479643157387,1.86245284729267,209.639742689329,-62.2791412420978,209.640622822276,-62.3097923922104,209.574709548416,-62.2795304682191,209.575523546879,-62.310182122886,0.862693130970001,310.63150475879104,-0.4285933364749364,1.3569839603370082
207.707313660756,-61.726103408936,24.536852670617,11.8662115537015,207.911150546569,-61.6303373317987,207.905661448883,-61.8249948997316,207.510239645513,-61.6272247071699,207.502203002059,-61.8218566970437,0.992070257663727,309.90400335433014,0.3390468148451549,8.531698023423399
206.58673468828,-62.3869445600523,5.37743673006446,2.5372941234761,206.631517212368,-62.3671592831261,206.628595987736,-62.4080892660516,206.544932286151,-62.3658010306603,206.541893266867,-62.4067286603712,0.99992573261261,309.2465874063204,-0.1903022256812309,1.8468986581941285
206.890672959417,-62.804260402394,4.92124047166442,2.25391969967191,206.928320365966,-62.7854783263079,206.931707254793,-62.8215156066087,206.849686580265,-62.7870040220236,206.852977636642,-62.8230436546357,0.998744547367096,309.2941623946333,-0.6278616304241817,1.665238785122656
206.76952160432,-62.5840802959244,49.5625051551178,22.4395580742103,207.180112294531,-62.4085109570356,207.160623554841,-62.7711206722137,206.383280025964,-62.3971280376435,206.354070541945,-62.7595615168046,0.997648477554321,309.28719420805146,-0.4008826015003464,16.674536820640725
206.849981995939,-62.3199601185549,5.58427218020086,2.60433000354269,206.896486017791,-62.2995060784862,206.893855261927,-62.3416634250907,206.806171889253,-62.2982579250317,206.803414814787,-62.3404130456108,0.995290517807007,309.3802106922948,-0.15089792957478138,1.9067831278652176
206.712659687333,-63.0543137746886,10.1192434995028,4.61502306557605,206.796883214694,-63.0182299704392,206.791857790302,-63.0927741868642,206.633668587967,-63.0158571357713,206.628229156369,-63.0903938056796,0.990591526031494,309.1613991464867,-0.8547236951532419,3.416889746406296
207.478388336823,-62.8412476719778,14.362019494742,6.57895760334711,207.597858894026,-62.7885768026372,207.593577019166,-62.8960747814762,207.363625531652,-62.7864254880871,207.358491902447,-62.8939136157106,0.981369853019714,309.5478798811747,-0.7230548060897914,4.86022420661723
206.357608980191,-62.2406664612309,3.87865656272993,1.83225362892273,206.387753789462,-62.2253979916575,206.389946438668,-62.2549456119673,206.325302162622,-62.226386689159,206.327433530011,-62.2559355521396,0.655762612819672,309.1731308230707,-0.024970024656529578,1.332918092232872
206.025287658107,-62.0725440340072,31.9714034073007,15.0649477484845,206.275595641277,-61.9470209000346,206.292759501642,-62.1910803271206,205.759902778187,-61.9539715463644,205.772892711323,-62.1981033625094,0.9999720454216,309.0557245969507,0.17142684252695065,10.973234730204949
206.167892899332,-62.5236663442544,7.29852600519621,3.38432625931716,206.228661094758,-62.4976411274868,206.224040227127,-62.5518703138926,206.111851280771,-62.4954648762373,206.107018994672,-62.5496890594007,0.9973503947258,309.02869145487085,-0.2837380226508796,2.4849845680453786
205.876895355785,-62.3477913772557,2.90571610629627,1.37997611356923,205.901101204507,-62.3372548776102,205.898995272138,-62.3592914025714,205.854812343759,-62.3362918006786,205.852672602736,-62.3583274281626,0.235830008983612,308.93247287232776,-0.08422249717565292,1.0012266001637993
209.491451723091,-61.6062541893666,4.18544410701543,1.99654666064546,209.525546712292,-61.5896164253606,209.526348831442,-61.622530793451,209.456591429659,-61.5899773356168,209.45731991897,-61.622892203038,0.703915119171143,310.7546385477336,0.25091246550239354,1.445374904235911
207.673311842895,-61.5814716022116,4.77007091002406,2.19929132607376,207.713039616661,-61.5637732150657,207.711799656979,-61.5997992679361,207.634869663114,-61.5631444125015,207.633538434827,-61.5991695133433,0.694442451000214,309.9212332583915,0.4835533289503694,1.6194733385558313
207.012435144325,-62.5267183961915,13.2202610187016,6.20055891070706,207.112933561597,-62.4750516136051,207.122778729513,-62.5740816213278,206.902441045868,-62.4793460877163,206.911587240322,-62.5783942621169,0.990945160388947,309.40889377839164,-0.369031000720869,4.526947295401819
269.047790249846,-25.7459916650879,2.30159366860107,2.04319714436274,269.066887206826,-25.728965050408,269.066972876013,-25.7629432864388,269.028612981537,-25.7290399873573,269.028687935009,-25.7630183361474,0.996177136898041,3.9419047805951823,-0.38359812413689753,1.0842750586416101
269.462294494425,-25.9282246227553,4.07908713049551,3.69362916703722,269.495923935218,-25.897444598579,269.496295428838,-25.9586790726886,269.428310643329,-25.8977697350574,269.428647970313,-25.9590050846963,0.997089982032776,3.9714177921849783,-0.7977455828030076,1.9407881904064372
268.822053697531,-25.528381450977,0.980530878432546,0.886359483265977,268.830216867082,-25.5209951230674,268.830225284062,-25.5357609993675,268.813883102755,-25.5210019003513,268.813889536228,-25.5357677811218,0.984862625598907,4.027364333135668,-0.09817116331228935,0.4661284272423765
268.632372972198,-25.8614019758653,3.96152355664526,3.54693007304839,268.664981879728,-25.8318444528582,268.665394173296,-25.890616695717,268.599368780685,-25.8321868008102,268.599747055083,-25.8909599540757,0.999853491783142,3.6536133418986703,-0.11886736881459854,1.8742496524045755
268.372714719618,-26.237892209113,0.80145266181944,0.750350150959278,268.379393148288,-26.2316750668737,268.379353780829,-26.2441451318739,268.366076345433,-26.2316392960246,268.366035603924,-26.2441093416797,0.999122858047485,3.2108303961703815,-0.10845573320636898,0.3877402886543169
268.793143020393,-25.7346896470392,2.09237786272752,1.84602532882991,268.810328641711,-25.719306178332,268.810581832116,-25.7498548870838,268.775708867737,-25.7195242555953,268.775952740007,-25.7500732671458,0.109628885984421,3.8360932380879635,-0.17976823028567493,0.9826726988267754
268.425434663335,-25.7539348721823,1.81008579949207,1.61173729423034,268.440517050841,-25.7405726646669,268.440446313643,-25.7673660367338,268.410426334676,-25.7405037484966,268.410348954182,-25.7672970388321,0.631009697914124,3.6519390711343327,0.09619876075095778,0.8540173869421674
